 ,hygglo_name,matched_category_id,matched_category_name,matched_parent,similarity,alt1_id,alt1_name,alt1_sim,alt2_id,alt2_name,alt2_sim,override_category_id
3943,Water Skiing and Wakeboard,1548,Vodni ski i wakeboard,Sportovi na vodi,0.9452,1550,Windsurfing,0.8587,1545,Kiteboarding,0.824,
9405,Baby Monitor,1390,Bebi monitor,Oprema za decu,0.9376,1389,Nosiljka i stolica za bebu,0.6555,1397,Jastuk za dojenje,0.6036,
8592,Radon Detector,1074,Detektor radona,Merni instrumenti,0.9323,1612,Vakuum tester,0.5922,1070,Detektor metala,0.5898,
9462,DSLR Lenses,1276,DSLR objektivi,Objektivi,0.9265,1254,DSLR fotoaparat,0.8327,1253,Kompaktni fotoaparat,0.7602,
8449,Metal Detector,1070,Detektor metala,Merni instrumenti,0.9246,1034,Kružna testera za metal,0.6958,1074,Detektor radona,0.6413,
8524,Other Drones,1143,Ostali dronovi,Dronovi,0.9225,1134,Oprema za dronove,0.8767,1135,DJI Avata,0.8479,
9031,Softbox & umbrella,1286,Softbox i kišobran,Blicevi i rasveta,0.9219,1633,Prikolica s pokrivačem,0.5757,1020,Skidač izolacije,0.5691,
9120,Blood Pressure Monitor,1403,Merač krvnog pritiska,Lična nega,0.9197,1221,Tester pritiska,0.5283,1071,Merač vlage,0.5103,
9032,Speed Booster,1287,Speed Booster,Blicevi i rasveta,0.9161,1607,Jump starter,0.5542,1593,Jump starter,0.5468,
8527,Accessories For Drones,1134,Oprema za dronove,Dronovi,0.9159,1135,DJI Avata,0.8012,1138,DJI Mavic,0.7903,
2913,PC Monitors,1150,PC monitori,Računari i oprema,0.9144,1242,Veliki ekran,0.7172,306,Monitori,0.6962,
4632,Children's Bike,1508,Dečiji bicikl,Biciklizam,0.9117,1505,Prikolica za dete (bicikl),0.8613,1394,Dečiji bicikli i oprema,0.8363,
8608,Battery Charger For Vehicles,1587,Punjač baterija za vozila,Auto oprema,0.9113,1601,Punjač baterija za vozila,0.8882,1019,Baterije i punjači,0.8034,
9034,Camera Battery,307,Baterije za kamere,Foto i Video,0.9109,1261,Torba za kameru,0.6753,1253,Kompaktni fotoaparat,0.6547,
9453,Mirrorless Camera,1257,Mirrorless kamera,Fotoaparati i kamere,0.9095,1279,Mirrorless objektivi,0.8289,1253,Kompaktni fotoaparat,0.6101,
8487,Car Transporter,1627,Transporter za automobile,Prikolice,0.9083,1594,Nosač tereta za kuku,0.742,1294,Nosač za automobil,0.7143,
9467,Ukulele,1482,Ukulele,Muzički instrumenti,0.9082,1484,Duvački instrument,0.8183,1471,Čelo,0.8149,
3963,Exercise Bike,1555,Sobni bicikl,Trening i teretana,0.9068,1504,Nosač bicikla,0.8061,1509,Ostalo u biciklizmu,0.7906,
9119,Hair Styling,1405,Stilizovanje kose,Lična nega,0.9068,1366,Rekviziti,0.4694,1412,Mašinica za šišanje pasa,0.4441,
8874,Polaroid Camera,1258,Polaroid kamera,Fotoaparati i kamere,0.905,1253,Kompaktni fotoaparat,0.6614,1254,DSLR fotoaparat,0.6613,
9493,Electric surfboard ,1542,Električni surfboard,Sportovi na vodi,0.901,1547,Surfanje,0.6815,1548,Vodni ski i wakeboard,0.6488,
9459,Digital Cinema Cameras,1255,Digitalna kino kamera,Fotoaparati i kamere,0.9003,1265,Streaming oprema,0.7965,1256,Filmska kamera,0.7834,
2982,Accessories For Mobiles & Tablets,1159,Oprema za mobilne i tablete,Mobilni telefoni i tableti,0.8972,1164,Tablet,0.8495,1161,Mobilni telefon,0.8268,
8470,Paddleboard,1546,Paddleboard,Sportovi na vodi,0.8966,1545,Kiteboarding,0.7202,1542,Električni surfboard,0.6492,
9439,Wing surf,1551,Wing surf,Sportovi na vodi,0.8946,1550,Windsurfing,0.7301,1547,Surfanje,0.7256,
8955,Red Carpet,1466,Crveni tepih,Dekoracija,0.893,1109,Skidač tapeta,0.5697,1106,Sto za tapete,0.5462,
9025,Violin,1483,Violina,Muzički instrumenti,0.8926,1484,Duvački instrument,0.6855,1482,Ukulele,0.6375,
2934,Other in Projector and TV,1247,Projekciono platno,Projektori i televizori,0.8918,1251,Ostalo u projektorima i TV,0.885,1246,Projektor,0.8762,1251
9466,Ring Light,1285,Ring svetlo,Blicevi i rasveta,0.8917,1289,Studijska lampa,0.551,1283,Okidač blica,0.5397,
2922,DSLR Cameras,1254,DSLR fotoaparat,Fotoaparati i kamere,0.8906,1276,DSLR objektivi,0.8793,1253,Kompaktni fotoaparat,0.831,
8517,Instrument Microphone,1476,Instrumentalni mikrofon,Muzički instrumenti,0.8902,1127,Mikrofon,0.8705,1128,Muzički instrumenti,0.7037,
8563,Other in Kitchen Utensils and Kitchen Appliances,1384,Lonci i tiganje,Kuhinjski aparati,0.8889,1388,Ostalo u kuhinji,0.8455,1386,Sokovnik na paru,0.8229,1388
8864,Sound Card,1131,Zvučna kartica,Audio oprema i zvuk,0.888,1479,Zvučna kartica,0.8187,1132,Zvučnik,0.7951,
8712,Piano,1478,Klavir,Muzički instrumenti,0.8852,1477,Klavijatura,0.8709,1484,Duvački instrument,0.6647,
2911,Laptops,1148,Laptop,Računari i oprema,0.8838,1149,Mrežna oprema,0.6958,1151,Ostalo u računarima,0.6902,
8959,Parking / Garage,1270,Parking i garaža,Prostori,0.8838,1591,Autosedište,0.639,1590,Grejač kabine,0.6351,
9007,Camera Bag,1261,Torba za kameru,Fotoaparati i kamere,0.8831,1253,Kompaktni fotoaparat,0.7039,1254,DSLR fotoaparat,0.6669,
1788,Other in hand tools,1090,Klješta,Ručni alati,0.8829,1091,Izvlakač,0.8812,1089,Udarni odvijač,0.875,1099
8606,Other in Batteries and Battery Chargers,1019,Baterije i punjači,Struja i agregati,0.8816,1601,Punjač baterija za vozila,0.8168,1587,Punjač baterija za vozila,0.8071,
9045,Gorillapod,1298,Gorillapod,Stativi i rigovi,0.8812,1025,Aligator testera,0.3865,1321,Robot za bazen,0.3592,
183,Other in Construction & Tools,1012,Radna rasveta,Građevinska oprema i alati,0.8804,1013,Ostalo u građevini i alatima,0.8774,1199,Ostalo u građevinskoj mehanizaciji,0.7806,1013
8980,Other in mobility & care,1586,Ostalo u mobilnosti,Mobilnost i medicinska nega,0.8804,1581,Štake,0.8773,1584,Hodalica,0.8654,
9363,Bike bag,1506,Torba za transport bicikla,Biciklizam,0.8803,1503,Prikolica za teret na biciklu,0.7976,1504,Nosač bicikla,0.7371,
8423,Styling & Decor,1364,Nameštaj,Stilizovanje i dekoracija,0.8787,1366,Rekviziti,0.8592,1467,Stilizovanje i dekoracija,0.8355,1467
8677,Other Musical Instruments,1485,Ostali muzički instrumenti,Muzički instrumenti,0.8784,1484,Duvački instrument,0.8765,1481,Sintisajzer,0.8576,
9410,Air quality meter,1061,Merač kvaliteta vazduha,Merni instrumenti,0.8783,1060,Merač protoka vazduha,0.7472,1191,Kompresor,0.5876,
8748,Other in Compressed Air,1192,Ostalo u komprimovanom vazduhu,Komprimovani vazduh,0.8781,1191,Kompresor,0.8183,1190,Crevo za komprimovani vazduh,0.7885,
9384,Chafing Dish,1434,Chafing dish,Ketering i kuhinja,0.878,1435,Rešo,0.6653,1442,Dispenser za šlag,0.6549,
253,Rowing Boat & Dinghy,1622,Čamac na vesla i dinghy,Čamci i plovila,0.8774,1618,Prikolica za čamac,0.8198,1617,Oprema za čamce,0.7984,
4646,Other in Children Furniture,1396,Dečiji nameštaj,Oprema za decu,0.8765,1389,Nosiljka i stolica za bebu,0.73,1395,Dečija odeća,0.7012,
3915,Bike Travel Bags,1506,Torba za transport bicikla,Biciklizam,0.8762,1574,Kofer za bicikl,0.8361,1503,Prikolica za teret na biciklu,0.8013,
8465,Big tents,1460,Šator preko 32 m²,Šatori i tende,0.8759,1459,Šator 24-32 m²,0.8552,1461,Ostalo u šatorima,0.8362,
1741,Heat Gun,1054,Toplotni pištolj,Brušenje i poliranje,0.8756,1087,Pištolj za lepak,0.6706,1189,Vazdušni pištolj,0.6602,
3953,Bass Guitar,1470,Bas gitara,Muzički instrumenti,0.8755,1474,Gitara,0.7376,1475,Gitarni pedal,0.6379,
8645,Package: Tables and Chairs,1430,Paket stolovi i stolice,Nameštaj za proslave,0.8743,1431,Sklopivi stolovi,0.7863,1429,Stolice za proslave,0.7574,
3921,Camping Tent,1461,Ostalo u šatorima,Šatori i tende,0.8742,1459,Šator 24-32 m²,0.8591,1460,Šator preko 32 m²,0.8536,
8679,Travel Adapter,1578,Putni adapter,Putovanja i koferi,0.8741,1410,Kolica za teret,0.6938,1409,Remeni i pojasevi za selidbu,0.6875,
2912,Desktop Computer,1146,Desktop računar,Računari i oprema,0.8728,1150,PC monitori,0.7745,1151,Ostalo u računarima,0.7064,
8463,Other in Camping Tents,1461,Ostalo u šatorima,Šatori i tende,0.8724,1636,Ostalo u kamperima,0.8112,1460,Šator preko 32 m²,0.7734,
1803,Tractor,1198,Traktor,Građevinska mehanizacija,0.8719,1213,Ostalo u mehanizaciji terena,0.6464,1211,Svrdlo za zemlju,0.6161,
8421,Other in Ski & Snowboard,1568,Skijanje i snowboard,Zimski sportovi,0.8718,1571,Snowracer,0.8686,1566,Skijaški roleri,0.8606,
1792,Drywall lift,1234,Lift za suvi zid,Skele i podupirači,0.8711,1051,Brusilica za suvi zid,0.7132,1118,Vakuumski podizač stakla,0.6209,
8535,Monopod,1299,Monopod,Stativi i rigovi,0.8709,1072,Multimetar,0.4609,1298,Gorillapod,0.4527,
2225,Other in Garden Tools,1356,Kolica za baštu,Baštenski alati,0.8703,1355,Vrtlarska testera i škare,0.7689,1344,Rasipač za đubrivo,0.7124,
9501,Guitar Pedal,1475,Gitarni pedal,Muzički instrumenti,0.8694,1474,Gitara,0.7063,1469,Pojačivač,0.6461,
8607,Battery Charger For Tools,1601,Punjač baterija za vozila,Alati za radionicu,0.8669,1019,Baterije i punjači,0.8394,1587,Punjač baterija za vozila,0.8079,1019
9455,Other Cameras,1260,Ostale kamere,Fotoaparati i kamere,0.8658,1253,Kompaktni fotoaparat,0.8454,1265,Streaming oprema,0.8387,
22211,Window Cleaner,1377,Čistač prozora,Čišćenje i pranje,0.8649,1371,Čistač odvoda,0.6967,1323,Čistač krova,0.6677,
1731,Laser Rangefinders,1066,Laserski daljinomer,Merni instrumenti,0.8636,1067,Laserski nivelator,0.8167,1075,Rotirajući laser,0.803,
3957,Other in Musical Instrument,1485,Ostali muzički instrumenti,Muzički instrumenti,0.8634,1484,Duvački instrument,0.8571,1481,Sintisajzer,0.827,
9454,Film Cameras,1255,Digitalna kino kamera,Fotoaparati i kamere,0.8626,1256,Filmska kamera,0.8493,1259,Specijalne kamere,0.8132,1256
9464,Mirrorless Lenses,1279,Mirrorless objektivi,Objektivi,0.8623,1257,Mirrorless kamera,0.7928,1284,Reflektorski ekran,0.6064,
9232,Pizza Oven,1438,Pizza peć,Ketering i kuhinja,0.8603,1436,Pića,0.6485,1435,Rešo,0.6116,
9011,Photo Background with Motif,1306,Pozadina sa motivom,Foto pozadine,0.8601,1307,Pozadina sa uzorkom,0.8383,1305,Jednobojna pozadina,0.7876,
3964,Other in Exercise & Gym,1556,Sprave za vežbanje,Trening i teretana,0.8599,1562,Ostalo u vežbanju i teretani,0.8454,1559,Šipka za zgibove,0.8445,1562
8472,Surfing,1547,Surfanje,Sportovi na vodi,0.8595,1542,Električni surfboard,0.8049,1551,Wing surf,0.8017,
8565,Kitchen aid,1384,Lonci i tiganje,Kuhinjski aparati,0.8591,1388,Ostalo u kuhinji,0.8459,1386,Sokovnik na paru,0.8365,1387
9297,Crosstrainer,1553,Crosstrainer,Trening i teretana,0.8581,1560,Prsluk sa tegovima,0.6971,1559,Šipka za zgibove,0.689,
8825,Other in Special Cameras,1259,Specijalne kamere,Fotoaparati i kamere,0.8578,1260,Ostale kamere,0.8401,1253,Kompaktni fotoaparat,0.8124,
9399,Lasercutter,1067,Laserski nivelator,Merni instrumenti,0.8562,1168,Laserski rezač,0.834,1075,Rotirajući laser,0.8184,1168
8662,Dj Equipment,1124,DJ oprema,Audio oprema i zvuk,0.8561,1125,Slušalice,0.628,1126,Luper,0.6279,
2921,Compact Camera,1253,Kompaktni fotoaparat,Fotoaparati i kamere,0.8556,1254,DSLR fotoaparat,0.7735,1264,Foto štampač,0.7705,
3951,Guitar,1474,Gitara,Muzički instrumenti,0.8551,1470,Bas gitara,0.7635,1475,Gitarni pedal,0.7518,
9516,Drum Machine,1472,Drum mašina i sampler,Muzički instrumenti,0.8544,1473,Bubnjevi,0.7215,1077,Merač buke,0.5778,
8453,Other in Game Consoles,1158,Ostalo u video igrama,Video igre i konzole,0.8539,1152,Arkadna mašina,0.8489,1154,Konzola,0.8098,
8467,Poker Set,1524,Poker set,Igra i hobi,0.8539,1522,Igre na otvorenom,0.4964,1176,Set bitova,0.4696,
2941,3D Printer,1165,3D štampač,Kancelarijske mašine,0.8525,1052,Mašina za graviranje,0.6252,1168,Laserski rezač,0.5571,
9366,Lawn Edge Trimmers,1339,Trimer za ivice travnjaka,Održavanje travnjaka,0.8503,1344,Rasipač za đubrivo,0.7341,1310,Trimer za travu,0.7283,
246,Other Vehicles,808,Ostala vozila,Vozila i oprema,0.8497,1627,Transporter za automobile,0.7884,1591,Autosedište,0.7364,
2981,Mobile Phones,1161,Mobilni telefon,Mobilni telefoni i tableti,0.8496,1162,Pametni sat,0.7845,1160,Gimbal za mobilni,0.7837,
2943,Other in Office Machinery,1174,Ostalo u kancelarijskim mašinama,Kancelarijske mašine,0.8494,1167,Mašina za laminiranje,0.7714,1171,Štampač,0.7509,
8807,Ski Clothing,1572,Zimska odeća,Zimski sportovi,0.8479,1566,Skijaški roleri,0.8474,1571,Snowracer,0.8407,
9121,Other Diagnostic Tools,1603,Dijagnostički alat,Alati za radionicu,0.8475,1032,Ubodna testera,0.6646,1042,Sabljasta testera,0.6512,
3955,Drums,1473,Bubnjevi,Muzički instrumenti,0.8473,1472,Drum mašina i sampler,0.809,1471,Čelo,0.5901,
8982,Electric wheelchair,1582,Električna invalidska kolica,Mobilnost i medicinska nega,0.8471,1585,Invalidska kolica,0.7402,1399,Kolica i oprema,0.574,
9425,Countertop stove,1386,Sokovnik na paru,Kuhinjski aparati,0.8455,1384,Lonci i tiganje,0.7846,1383,Mini rerna,0.7507,1435
9186,Stereo microphone,1127,Mikrofon,Audio oprema i zvuk,0.8453,1476,Instrumentalni mikrofon,0.7663,1132,Zvučnik,0.6731,
9008,Green Screen,1304,Zeleni ekran,Foto pozadine,0.8452,1245,Grafoskop,0.5812,306,Monitori,0.559,
9264,Engraving Machine,1052,Mašina za graviranje,Brušenje i poliranje,0.8445,1165,3D štampač,0.7767,1322,Visokotlačni perač,0.704,
8984,Projector screen,1248,Slajd projektor,Projektori i televizori,0.8432,1247,Projekciono platno,0.8116,1246,Projektor,0.7769,1247
8454,IR Thermometer,1065,IC termometar,Merni instrumenti,0.8429,1080,Termovizijska kamera,0.6918,1605,Indukcioni grejač,0.6466,
