title,category_id,confidence,notes
Iznajmljivanje ventilatora na vodu,105,high,
Transport Kombi,SKIP,high,"usluga transporta, ne predmet"
Sup daske,1546,high,
Iznajmljivanje automobila za dostavu ili licnu upotrebu,SKIP,high,automobil nije pokriven taxonomy-jem
🥂Barski stolovi i stolice – Napravite zonu za uživanje🥂,1430,high,
STIHL BT 360 – busac rupa – izdavanje,1211,high,
"Frigo Mehanika USLUGA SERVIS , Elektronika",SKIP,high,"usluga servisiranja, ne predmet"
Iznajmi haljinu,1425,high,
"Kranzle B 270 T – Profesionalni perač, puromat 270 bar",1322,high,
Rent a car Opel Corsa,SKIP,high,automobil nije pokriven taxonomy-jem
Dnevni i mesecni najam vozila,SKIP,high,vozila za najam nisu pokrivena taxonomy-jem
Iznajmi agregat 30 kw,1024,high,
Tepih Servis „SJAJmax“Dubinsko pranje namestaja i vozila,SKIP,high,"usluga dubinskog pranja, ne predmet"
Vibro zaba Wacker Neuson BS 60 4S – izdavanje rentiranje,1208,high,
Iznajmljujem kombi 8+1,SKIP,high,kombi vozilo nije pokriveno taxonomy-jem
Sto i stolice,1430,high,
Pagode za izdavanje,1459,medium,"pagoda/paviljon, veli?ina nije navedena"
"Iznajmljivanje,otkup,prodaja svih vrsta stripova",SKIP,high,stripovi nisu pokriveni taxonomy-jem
HILTI VC 40 usisivac – izdavanje,1376,medium,industrijski usisiva?
Iznajmljujem hladnjace povoljno,1441,medium,mobilna hladnja?a za doga?aje/ketering
Prevoz Putnika i Robe – Pouzdan Prevoz i Dostava Stvari,SKIP,high,"usluga prevoza, ne predmet"
Štampači A4 I A3,1171,high,
Hilti TE 3000 AVR – izdavanje,1177,high,
VIP TRANSFERI,SKIP,high,transfer/prevoz je usluga
Hilti TE 2000 AVR – izdavanje,1177,high,
BIOPTRON by Zepter,SKIP,high,zdravstveni aparat nije pokriven taxonomy-jem
Dvorac na naduvavanje i bubbl,1457,medium,dvorac na naduvavanje za zabavu
Hilti TE 1500 AVR – izdavanje,1177,high,
Usluge Transporta,SKIP,high,"usluga transporta, ne predmet"
Hilti TE 1000 AVR – izdavanje,1177,high,
Hilti TE 700 AVR – izdavanje,1177,high,
Hilti TE 800 AVR – izdavanje,1177,high,
Iznajmljivanje kamiona sa rukom-kranom (HIAB),1123,medium,"kamion sa kranom, najbli?e transport i dizanje"
Iznajmljivanje telehendera Beograd 14m viljuskar,1117,medium,telehendler/vilju?kar
"Atlas Copco BG 375 - Helikopter za beton - najam, izdavanje",1209,medium,helikopter za beton
"Građevinska šinska dizalica – najam, izdavanje",1123,medium,gra?evinska dizalica
Cevi za spustanje suta -levak za sut - izdavanje,1230,medium,cevi/levak za ?ut kao oprema za gra?evinski otpad
Wacker Neuson GV 2500 - agregat 3.6 kw - izdavanje,1024,high,
Atlas Copco 8000T - agregat 8 kw - izdavanje,1024,high,
"Industrijski ventilator za hale, magacine Master BC 341",105,high,
