id,name,parent_id,parent_name,is_leaf
100,Građevinska oprema i alati,,,0
101,Bušilice i šrafilice,100,Građevinska oprema i alati,0
102,Struja i agregati,100,Građevinska oprema i alati,0
103,Testerisanje i sečenje,100,Građevinska oprema i alati,0
104,Brušenje i poliranje,100,Građevinska oprema i alati,0
105,Ventilacija i grejanje,100,Građevinska oprema i alati,1
106,Merni instrumenti,100,Građevinska oprema i alati,0
107,Ručni alati,100,Građevinska oprema i alati,0
108,Krečenje i tapete,100,Građevinska oprema i alati,0
109,Glodanje i hoblovanje,100,Građevinska oprema i alati,0
110,Skele i podupirači,100,Građevinska oprema i alati,0
200,Elektronika,,,0
201,Audio oprema i zvuk,200,Elektronika,0
202,Dronovi,200,Elektronika,0
203,Projektori i televizori,200,Elektronika,0
204,Računari i oprema,200,Elektronika,0
205,Video igre i konzole,200,Elektronika,0
206,Mobilni telefoni i tableti,200,Elektronika,0
207,Radio stanice i toki-voki,200,Elektronika,1
208,Kancelarijske mašine,200,Elektronika,0
209,POS terminali,200,Elektronika,1
210,Ostalo u elektronici,200,Elektronika,1
300,Foto i Video,,,0
301,Fotoaparati i kamere,300,Foto i Video,0
302,Objektivi,300,Foto i Video,0
303,Blicevi i rasveta,300,Foto i Video,0
304,Stativi i rigovi,300,Foto i Video,0
305,Foto/Video paketi,300,Foto i Video,1
306,Monitori,300,Foto i Video,1
307,Baterije za kamere,300,Foto i Video,1
308,Memorijske kartice,300,Foto i Video,1
309,Foto pozadine,300,Foto i Video,0
310,Ostalo u foto i video,300,Foto i Video,1
400,Bašta,,,0
401,Baštenske mašine,400,Bašta,0
402,Merdevine,400,Bašta,0
403,Održavanje travnjaka,400,Bašta,0
404,Baštenski alati,400,Bašta,0
405,Baštenski nameštaj,400,Bašta,1
406,Ostalo u bašti,400,Bašta,1
500,Kuća i dom,,,0
501,Stilizovanje i dekoracija,500,Kuća i dom,0
502,Čišćenje i pranje,500,Kuća i dom,0
503,Kuhinjski aparati,500,Kuća i dom,0
504,Oprema za decu,500,Kuća i dom,0
505,Lična nega,500,Kuća i dom,0
506,Mašine za šivenje,500,Kuća i dom,1
507,Oprema za selidbe,500,Kuća i dom,0
508,Oprema za kućne ljubimce,500,Kuća i dom,0
509,Ostalo u kući,500,Kuća i dom,1
600,Proslave i događaji,,,0
601,"Zvuk, rasveta i bina",600,Proslave i događaji,0
602,Odeća i kostimi,600,Proslave i događaji,0
603,Nameštaj za proslave,600,Proslave i događaji,0
604,Ketering i kuhinja,600,Proslave i događaji,0
605,Aktivnosti i zabava,600,Proslave i događaji,0
606,Šatori i tende,600,Proslave i događaji,0
607,Dekoracija,600,Proslave i događaji,0
608,Party paketi,600,Proslave i događaji,1
609,Grejalice i pečurke,600,Proslave i događaji,1
610,Ostalo za proslave,600,Proslave i događaji,1
700,Sport i rekreacija,,,0
701,Muzički instrumenti,700,Sport i rekreacija,0
702,Kampovanje i outdoor,700,Sport i rekreacija,0
703,Biciklizam,700,Sport i rekreacija,0
704,Igra i hobi,700,Sport i rekreacija,0
705,Sportski rekviziti,700,Sport i rekreacija,0
706,Sportovi na vodi,700,Sport i rekreacija,0
707,Trening i teretana,700,Sport i rekreacija,0
708,Zimski sportovi,700,Sport i rekreacija,0
709,Putovanja i koferi,700,Sport i rekreacija,0
710,Mobilnost i medicinska nega,700,Sport i rekreacija,0
800,Vozila i oprema,,,0
801,Auto oprema,800,Vozila i oprema,0
802,Alati za radionicu,800,Vozila i oprema,0
803,Čamci i plovila,800,Vozila i oprema,0
804,Prikolice,800,Vozila i oprema,0
805,Kamperi i kamp prikolice,800,Vozila i oprema,0
806,Motocikli i oprema,800,Vozila i oprema,0
807,Prikolice za konje,800,Vozila i oprema,0
808,Ostala vozila,800,Vozila i oprema,1
900,Ostalo,,,0
901,Prostori,900,Ostalo,0
1001,Komprimovani vazduh,100,Građevinska oprema i alati,0
1002,Građevinska mehanizacija,100,Građevinska oprema i alati,0
1003,Podne obloge i pločice,100,Građevinska oprema i alati,0
1005,Mašine za uređenje terena,100,Građevinska oprema i alati,0
1006,Klamerice i ekseri,100,Građevinska oprema i alati,0
1007,Vodoinstalaterski alati,100,Građevinska oprema i alati,0
1008,Zaštitna oprema,100,Građevinska oprema i alati,1
1009,Transport i dizanje,100,Građevinska oprema i alati,0
1010,Paketi alata,100,Građevinska oprema i alati,1
1011,Aparati za zavarivanje,100,Građevinska oprema i alati,0
1012,Radna rasveta,100,Građevinska oprema i alati,1
1013,Ostalo u građevini i alatima,100,Građevinska oprema i alati,1
1015,Inverter,200,Elektronika,1
1017,Satelitska oprema,200,Elektronika,1
1018,Pametni zvučnik,200,Elektronika,1
1019,Baterije i punjači,102,Struja i agregati,1
1020,Skidač izolacije,107,Ručni alati,1
1021,Kalemovi i električni kablovi,107,Ručni alati,1
1022,Razvodni ormar,102,Struja i agregati,1
1024,Agregat,102,Struja i agregati,1
1025,Aligator testera,103,Testerisanje i sečenje,1
1026,Tračna testera,103,Testerisanje i sečenje,1
1027,Sekač vijaka,103,Testerisanje i sečenje,1
1028,Cirkularna testera,103,Testerisanje i sečenje,1
1029,Kombinovana testera,103,Testerisanje i sečenje,1
1030,Vodilica,103,Testerisanje i sečenje,1
1031,Ručna testera,103,Testerisanje i sečenje,1
1032,Ubodna testera,103,Testerisanje i sečenje,1
1033,Makaze za metal,103,Testerisanje i sečenje,1
1034,Kružna testera za metal,103,Testerisanje i sečenje,1
1035,Stoni ger za drvo,103,Testerisanje i sečenje,1
1036,Ručni ger za drvo,103,Testerisanje i sečenje,1
1037,Mobilna pilana,103,Testerisanje i sečenje,1
1038,Oscilirajući višenamenski alat / Multialat,103,Testerisanje i sečenje,1
1039,Plazma rezač,103,Testerisanje i sečenje,1
1040,Narezač,103,Testerisanje i sečenje,1
1041,Presa,103,Testerisanje i sečenje,1
1042,Sabljasta testera,103,Testerisanje i sečenje,1
1043,Stona testera,103,Testerisanje i sečenje,1
1044,Rezač pločica,103,Testerisanje i sečenje,1
1045,Ostalo u testerama,103,Testerisanje i sečenje,1
1046,Ugaona brusilica,104,Brušenje i poliranje,1
1047,Trakasta turpija,104,Brušenje i poliranje,1
1048,Trakasta brusilica,104,Brušenje i poliranje,1
1049,Stona brusilica,104,Brušenje i poliranje,1
1050,Precizna brusilica,104,Brušenje i poliranje,1
1051,Brusilica za suvi zid,104,Brušenje i poliranje,1
1052,Mašina za graviranje,104,Brušenje i poliranje,1
1053,Brusilica za podove,104,Brušenje i poliranje,1
1054,Toplotni pištolj,104,Brušenje i poliranje,1
1055,Orbitalna brusilica,104,Brušenje i poliranje,1
1056,Polirka,104,Brušenje i poliranje,1
1057,Listna brusilica,104,Brušenje i poliranje,1
1058,Ostalo u brušenju,104,Brušenje i poliranje,1
1059,Ostale brusilice,104,Brušenje i poliranje,1
1060,Merač protoka vazduha,106,Merni instrumenti,1
1061,Merač kvaliteta vazduha,106,Merni instrumenti,1
1062,Uglomer,106,Merni instrumenti,1
1063,Tražač kabla,106,Merni instrumenti,1
1064,Merač energije,106,Merni instrumenti,1
1065,IC termometar,106,Merni instrumenti,1
1066,Laserski daljinomer,106,Merni instrumenti,1
1067,Laserski nivelator,106,Merni instrumenti,1
1068,Fotometar,106,Merni instrumenti,1
1069,Metar,106,Merni instrumenti,1
1070,Detektor metala,106,Merni instrumenti,1
1071,Merač vlage,106,Merni instrumenti,1
1072,Multimetar,106,Merni instrumenti,1
1073,Osciloskop,106,Merni instrumenti,1
1074,Detektor radona,106,Merni instrumenti,1
1075,Rotirajući laser,106,Merni instrumenti,1
1076,Vaga,106,Merni instrumenti,1
1077,Merač buke,106,Merni instrumenti,1
